Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,15540.23438,15690.33496,15485.75098,15648.99414,15648.99414,26579591364
2020-08-21,15648.54004,15668.34961,15237.61231,15273.85742,15273.85742,31308540811
2020-08-22,15264.62012,15401.55371,15084.5459,15391.56445,15391.56445,26646686618
2020-08-23,15388.75879,15437.30469,15178.29199,15375.85645,15375.85645,24361872144
2020-08-24,15374.3291,15530.5791,15320.87402,15563.07227,15563.07227,27335788162
2020-08-25,15561.74219,15572.54981,14761.58398,14964.79004,14964.79004,34628883594
2020-08-26,14965.79004,15146.74219,14877.5752,15097.16895,15097.16895,29524045764
2020-08-27,15093.54785,15183.39453,14678.80762,14859.35449,14859.35449,30497699492
2020-08-28,14861.8457,15123.3125,14854.66016,15119.23145,15119.23145,25944861249
2020-08-29,15117.33887,15175.74121,15019.41113,15072.55566,15072.55566,22903947365
2020-08-30,15074.97656,15334.11035,15053.58398,15319.23535,15319.23535,25847235358
2020-08-31,15321.58984,15371.03613,15159.95313,15230.27148,15230.27148,29057953268
2020-09-01,15228.31055,15762.74512,15123.82324,15626.50195,15626.50195,35653050576
2020-09-02,15619.11914,15619.11914,14752.29199,14891.18262,14891.18262,36578664374
2020-09-03,14882.25488,14935.11328,13377.89551,13462.52441,13462.52441,41953060228
2020-09-04,13442.9043,13964.40332,13392.87891,13731.63477,13731.63477,39143599633
2020-09-05,13732.57031,13822.75977,12993.3916,13284.55664,13284.55664,58674733823
2020-09-06,13281.48633,13528.37988,13137.36035,13442.84473,13442.84473,48475568111
2020-09-07,13443.68945,13616.2041,12985.99414,13579.41016,13579.41016,44135724006
2020-09-08,13579.07422,13804.96191,13105.3877,13413.77344,13413.77344,44261377878
2020-09-09,13417.26172,13616.03516,13257.21094,13471.40137,13471.40137,31735098970
2020-09-10,13471.37793,13802.30957,13465.86133,13668.72168,13668.72168,71760738434
2020-09-11,13676.48926,13750.3584,13363.43262,13705.80566,13705.80566,59563778219
2020-09-12,13717.5957,13940.26367,13562.79199,13760.16992,13760.16992,48427414393
2020-09-13,13773.64844,13938.125,13472.80371,13609.85938,13609.85938,48127166566
2020-09-14,13616.42188,14225.96875,13538.19629,14073.92578,14073.92578,46716475850
2020-09-15,14069.86426,14386.7627,14024.70117,14244.93555,14244.93555,42891280378
2020-09-16,14246.00586,14595.86426,14125.76953,14466.70215,14466.70215,40559826885
2020-09-17,14464.52441,14573.89941,14248.90625,14398.19531,14398.19531,50170584633
2020-09-18,14401.91699,14523.75977,14286.53711,14452.48926,14452.48926,34784879245
2020-09-19,14438.18457,14702.95898,14406.5332,14650.47266,14650.47266,30060928139
2020-09-20,14652.48438,14652.48438,14280.89551,14436.89941,14436.89941,32599715870
2020-09-21,14432.4834,14476.20117,13812.38965,13916.69922,13916.69922,38422277179
2020-09-22,13913.19336,14061.35449,13834.70215,14013.41211,14013.41211,31410836114
2020-09-23,14014.73731,14171.4541,13634.5752,13690.01856,13690.01856,30773811952
2020-09-24,13692.18164,14376.91113,13669.68066,14346.23145,14346.23145,30730391058
2020-09-25,14348.79981,14405.00391,14177.76074,14325.01563,14325.01563,28419767935
2020-09-26,14324.94531,14429.87793,14300.79785,14397.66406,14397.66406,24238356562
2020-09-27,14395.65918,14464.99805,14249.08887,14417.80957,14417.80957,24109306275
2020-09-28,14414.08301,14639.85352,14314.59766,14322.12793,14322.12793,30351090986
2020-09-29,14310.28711,14534.94043,14291.83887,14520.83398,14520.83398,27384922255
2020-09-30,14516.25781,14527.73926,14326.82031,14357.78027,14357.78027,27630018914
2020-10-01,14354.31055,14506.50195,13948.08301,14115.09082,14115.09082,36111385160
2020-10-02,14116.5,14179.19531,13905.60742,14089.38281,14089.38281,30784310446
2020-10-03,14087.5752,14127.88672,14013.26563,14063.2002,14063.2002,22752982416
2020-10-04,14066.43066,14229.3125,14017.74414,14203.02539,14203.02539,23325302594
2020-10-05,14207.81738,14325.20898,14142.46973,14325.20898,14325.20898,25703155311
2020-10-06,14319.60938,14323.92481,14061.25293,14149.27734,14149.27734,29659485440
2020-10-07,14146.79981,14175.77441,14108.81348,14160.0332,14160.0332,23382370374
2020-10-08,14158.0293,14447.5918,13990.62012,14410.83301,14410.83301,28973198699
2020-10-09,null,null,null,null,null,null
2020-10-10,14506.99609,15009.49219,14504.66016,14818.73633,14818.73633,30011675481
2020-10-11,14818.36914,14992.48926,14808.59082,14949.65039,14949.65039,26222701212
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,15019.24316,15151.41406,14873.18945,15031.9502,15031.9502,31700537580
2020-10-15,15028.13086,15293.71387,14920.24805,15206.56543,15206.56543,32392813814
2020-10-16,15216.45898,15263.46289,14834.52246,14936.70996,14936.70996,33819608008
2020-10-17,14936.70996,15021.3252,14888.19238,14984.17578,14984.17578,25237820007
2020-10-18,14981.37988,15137.27246,14970.29297,15137.27246,15137.27246,24100918697
2020-10-19,15152.66699,15518.48535,15045.16211,15487.80566,15487.80566,31472474839
2020-10-20,15493,15738.49219,15410.2666,15634.23145,15634.23145,40561557929
2020-10-21,15629.95801,17335.79297,15610.86426,16869.49805,16869.49805,57111837386
2020-10-22,16840.48828,17286.56836,16747.36914,17032.64258,17032.64258,45622748696
2020-10-23,17040.07422,17085.76563,16768.58398,16973.61523,16973.61523,38031827814
2020-10-24,16973.66016,17253.88672,16913.50977,17205.31445,17205.31445,32213632970
2020-10-25,17205.31641,17495.55469,16953.81445,17133.71289,17133.71289,32090829345
2020-10-26,17133.75,17462.48438,16947.86914,17267.44727,17267.44727,38907420539
2020-10-27,17267.43945,18160.69922,17247.68555,18012.41211,18012.41211,44522265515
2020-10-28,18012.4082,18250.97852,17215.99414,17666.00586,17666.00586,47744602210
2020-10-29,17666.02344,18179.57031,17343.20313,17893.38867,17893.38867,75232643184
2020-10-30,17893.375,18191.90234,17525.66016,18045.32227,18045.32227,40737596436
2020-10-31,18045.33594,18686.98438,17926.77539,18357.66211,18357.66211,40371241652
2020-11-01,18357.66406,18465.61523,18154.36328,18364.88086,18364.88086,32691898003
2020-11-02,18364.77734,18440.32422,17608.56836,17915.12891,17915.12891,40683002817
2020-11-03,17915.07813,18325.23438,17616.90039,18279.5957,18279.5957,39139702792
2020-11-04,18279.83984,18650.61328,18033.0332,18553.14844,18553.14844,46096830889
2020-11-05,18553.18359,20521.98828,18506.03125,20383.97266,20383.97266,53454572436
2020-11-06,20383.81641,20805.14844,19847.30273,20332.16797,20332.16797,52036229021
2020-11-07,20332.16797,20555.81055,18839.60156,19375.86523,19375.86523,45749629555
2020-11-08,19375.86523,20368.4707,19258.77148,20159.36523,20159.36523,34683510584
2020-11-09,20159.40234,20531.96484,19289.88281,19945.73242,19945.73242,44424413694
2020-11-10,19945.77734,20108.07813,19684.66602,19926.41602,19926.41602,33328108516
2020-11-11,19926.42383,20786.22266,19922.34375,20504.45898,20504.45898,38879893288
2020-11-12,20504.4043,21424.14063,20296.02344,21384.42969,21384.42969,44901307464
2020-11-13,21384.55664,21663.5,21059.31445,21423.16016,21423.16016,41486025288
2020-11-14,21423.16016,21423.16016,20676.64258,21095.37695,21095.37695,36079912785
2020-11-15,21095.37891,21167.54883,20750.25586,20937.95898,20937.95898,31040142543
2020-11-16,20937.94531,22017.8125,20839.93164,21858.82227,21858.82227,41225976443
2020-11-17,21819.04297,23290.48633,21651.43359,23126.06836,23126.06836,51122376522
2020-11-18,23125.78711,24084.79883,22687.29492,23303.57422,23303.57422,64220671760
2020-11-19,23303.38477,23724.64844,22793.98633,23320.16602,23320.16602,48408444478
2020-11-20,23320.15625,24518.11719,23236.15039,24380.23438,24380.23438,48433475099
