Date,Short Volume,Total Volume
2018-12-21,149670,245160
2018-12-20,109876,191986
2018-12-19,95661,154834
2018-12-18,69526,109672
2018-12-17,69633,134435
2018-12-14,52093,96650
2018-12-13,51107,82706
2018-12-12,46769,81808
2018-12-11,51244,93446
2018-12-10,65199,103768
2018-12-07,76718,124466
2018-12-06,62454,120143
2018-12-04,54427,89954
2018-12-03,65303,137289
2018-11-30,60828,114677
2018-11-29,38201,79685
2018-11-28,47717,106309
2018-11-27,38156,67865
2018-11-26,34066,60157
2018-11-23,16388,28048
2018-11-21,51197,83506
2018-11-20,72958,132438
2018-11-19,52899,98824
2018-11-16,60178,97168
2018-11-15,60814,107855
2018-11-14,51814,82115
2018-11-13,33253,62940
2018-11-12,47639,94342
2018-11-09,52675,92920
2018-11-08,45676,83629
2018-11-07,61675,108909
2018-11-06,37160,72473
2018-11-05,53933,106929
2018-11-02,56002,104338
2018-11-01,46280,89693
2018-10-31,101784,177302
2018-10-30,74552,142816
2018-10-29,91998,162275
2018-10-26,128110,222541
2018-10-25,110954,183063
2018-10-24,77084,118667
2018-10-23,43610,78945
2018-10-22,26455,49604
2018-10-19,57965,114820
2018-10-18,59282,107258
2018-10-17,43847,79033
2018-10-16,55842,98584
2018-10-15,45841,76161
2018-10-12,88518,144893
2018-10-11,90984,151975
2018-10-10,68979,136923
2018-10-09,41451,81617
2018-10-08,52539,105835
2018-10-05,41345,83306
2018-10-04,65929,149241
2018-10-03,38108,91153
2018-10-02,44526,102485
2018-10-01,54774,96375
2018-09-28,60357,102400
2018-09-27,68022,114812
2018-09-26,39192,81527
2018-09-25,47010,91081
2018-09-24,35187,73212
2018-09-21,83634,140422
2018-09-20,44041,84026
2018-09-19,43977,77045
2018-09-18,35625,67025
2018-09-17,44427,93108
2018-09-14,38010,70242
2018-09-13,58827,130103
2018-09-12,48690,101592
2018-09-11,43983,83183
2018-09-10,36635,75682
2018-09-07,64152,120303
2018-09-06,59949,137204
2018-09-05,82882,163314
2018-09-04,75038,160430
2018-08-31,61580,145477
2018-08-30,41951,94051
2018-08-29,59601,127039
2018-08-28,43074,92128
2018-08-27,50984,96178
2018-08-24,40695,97794
2018-08-23,45628,86540
2018-08-22,32548,61653
2018-08-21,46556,81222
2018-08-20,34632,67451
2018-08-17,44622,126608
2018-08-16,52804,101484
2018-08-15,55219,101315
2018-08-14,33366,67439
2018-08-13,38704,85138
2018-08-10,41186,83962
2018-08-09,31888,69298
2018-08-08,41569,93575
2018-08-07,58949,125267
2018-08-06,21843,45442
2018-08-03,32733,61962
2018-08-02,59185,116655
2018-08-01,46696,95962
2018-07-31,46661,91105
2018-07-30,59906,128836
2018-07-27,85099,168938
2018-07-26,75579,160377
2018-07-25,61912,124005
2018-07-24,128537,271255
2018-07-23,55996,137666
2018-07-20,74725,124918
2018-07-19,49015,99166
2018-07-18,79076,121838
2018-07-17,72482,130503
2018-07-16,26995,58607
2018-07-13,44442,89925
2018-07-12,50214,109727
2018-07-11,39923,75830
2018-07-10,23344,45684
2018-07-09,29310,64049
2018-07-06,30004,63914
2018-07-05,33263,67458
2018-07-03,19386,39586
2018-07-02,29629,54686
2018-06-29,41402,79155
2018-06-28,46072,102838
2018-06-27,51642,110462
2018-06-26,44493,92625
2018-06-25,73349,160357
2018-06-22,40948,88484
2018-06-21,70544,133963
2018-06-20,79869,164693
2018-06-19,72559,168213
2018-06-18,53287,96807
2018-06-15,58949,97749
2018-06-14,93902,136843
2018-06-13,70235,106549
2018-06-12,34260,65493
2018-06-11,55836,84590
2018-06-08,64412,102523
2018-06-07,75930,115447
2018-06-06,68733,103206
2018-06-05,67795,102336
2018-06-04,116504,158356
2018-06-01,223627,326511
2018-05-31,141959,241624
2018-05-30,37325,78018
2018-05-29,51667,101063
2018-05-25,28768,50613
2018-05-24,31594,50433
2018-05-23,44929,69853
2018-05-22,31761,50214
2018-05-21,52659,88733
2018-05-18,62866,103636
2018-05-17,48889,81461
2018-05-16,54497,86993
2018-05-15,87051,122923
2018-05-14,90634,124766
2018-05-11,63320,104897
2018-05-10,77320,126739
2018-05-09,97581,176381
2018-05-08,66873,106712
2018-05-07,83877,140916
2018-05-04,74818,139697
2018-05-03,97571,168279
2018-05-02,71370,109997
2018-05-01,79401,117797
2018-04-30,51884,85172
2018-04-27,80897,149522
2018-04-26,88877,149098
2018-04-25,136130,224748
2018-04-24,215498,371509
2018-04-23,122862,207773
2018-04-20,97697,153574
2018-04-19,81047,137407
2018-04-18,52465,95064
2018-04-17,70112,126514
2018-04-16,43460,85206
2018-04-13,56381,94085
2018-04-12,45051,83603
2018-04-11,49568,92332
2018-04-10,74281,121579
2018-04-09,87648,118573
2018-04-06,91197,117751
2018-04-05,78186,117167
2018-04-04,77637,147847
2018-04-03,77219,117056
2018-04-02,139416,193148
2018-03-29,139381,234931
2018-03-28,176703,299235
2018-03-27,119478,194840
2018-03-26,100166,174240
2018-03-23,126168,191543
2018-03-22,137027,222176
2018-03-21,83847,139273
2018-03-20,95413,175615
2018-03-19,132260,204182
2018-03-16,92352,148258
2018-03-15,79314,126782
2018-03-14,86896,131251
2018-03-13,94278,169315
2018-03-12,89519,149868
2018-03-09,118195,168835
2018-03-08,79579,127250
2018-03-07,44076,73463
2018-03-06,42165,65272
2018-03-05,48176,78854
2018-03-02,107260,186159
2018-03-01,125966,217109
2018-02-28,84532,142200
2018-02-27,78668,152233
2018-02-26,46695,80157
2018-02-23,58420,92512
2018-02-22,54743,88665
2018-02-21,63622,108770
2018-02-20,52869,89274
2018-02-16,79694,129861
2018-02-15,63634,104304
2018-02-14,61539,105138
2018-02-13,52934,82950
2018-02-12,75374,125458
2018-02-09,190039,303074
2018-02-08,88788,156936
2018-02-07,52549,103361
2018-02-06,88209,191256
2018-02-05,90452,186135
2018-02-02,146837,277676
2018-02-01,63437,142673
2018-01-31,29460,66559
2018-01-30,32170,79723
2018-01-29,33861,66812
2018-01-26,44300,103974
2018-01-25,24834,58715
2018-01-24,35099,84644
2018-01-23,28885,66476
2018-01-22,36680,65766
2018-01-19,26011,61247
2018-01-18,29830,70973
2018-01-17,33312,67355
2018-01-16,45544,93845
2018-01-12,60723,116198
2018-01-11,24178,47844
2018-01-10,25837,52210
2018-01-09,30190,57721
2018-01-08,20697,47705
2018-01-05,36692,83149
2018-01-04,27433,55696
2018-01-03,31422,75761
2018-01-02,39051,88513
2017-12-29,20854,45399
2017-12-28,22354,48650
2017-12-27,19435,44067
2017-12-26,13147,29543
2017-12-22,12736,36852
2017-12-21,26492,62215
2017-12-20,25939,56669
2017-12-19,32614,60955
2017-12-18,26594,66082
2017-12-15,68232,119379
2017-12-14,28214,63677
2017-12-13,24970,61591
2017-12-12,38545,81175
2017-12-11,19492,43194
2017-12-08,25906,65817
2017-12-07,25746,56311
2017-12-06,23102,56953
2017-12-05,38616,83030
2017-12-04,35713,76536
2017-12-01,37563,78999
2017-11-30,39177,93361
2017-11-29,52409,97912
2017-11-28,40671,66954
2017-11-27,39490,64245
2017-11-24,28724,44291
2017-11-22,17306,32865
2017-11-21,25725,43459
2017-11-20,17550,37056
2017-11-17,23084,54049
2017-11-16,27398,53286
2017-11-15,19370,37201
2017-11-14,18317,39928
2017-11-13,23897,42736
2017-11-10,25049,48466
2017-11-09,39866,81579
2017-11-08,27475,57123
2017-11-07,27304,42891
2017-11-06,24094,40458
2017-11-03,42148,80521
2017-11-02,28671,52229
2017-11-01,54577,98023
2017-10-31,38013,63608
2017-10-30,51034,86442
2017-10-27,109377,245703
2017-10-26,42292,85466
2017-10-25,26385,58752
2017-10-24,25479,55248
2017-10-23,29594,64356
2017-10-20,33297,92836
2017-10-19,32892,94121
2017-10-18,33435,67335
2017-10-17,23383,43582
2017-10-16,24889,54940
2017-10-13,41565,89607
2017-10-12,45454,71469
2017-10-11,39935,75238
2017-10-10,27118,51341
2017-10-09,20869,38967
2017-10-06,36077,74645
2017-10-05,40048,85810
2017-10-04,32463,52599
2017-10-03,34853,56894
2017-10-02,44076,78149
2017-09-29,50033,95803
2017-09-28,40213,74032
2017-09-27,51949,134509
2017-09-26,35055,77153
2017-09-25,40823,81744
2017-09-22,32187,65711
2017-09-21,31895,68428
2017-09-20,45152,102835
2017-09-19,30649,61110
2017-09-18,28799,59178
2017-09-15,42377,80215
2017-09-14,28510,59600
2017-09-13,23706,57661
2017-09-12,31046,59597
2017-09-11,35551,69891
2017-09-08,34367,59963
2017-09-07,30157,67796
2017-09-06,36960,63600
2017-09-05,44976,74270
2017-09-01,31624,59292
2017-08-31,46457,81894
2017-08-30,30070,60077
2017-08-29,34625,72232
2017-08-28,25123,48589
2017-08-25,30499,59208
2017-08-24,33159,63559
2017-08-23,34426,68381
2017-08-22,49195,91769
2017-08-21,24941,57901
2017-08-18,40004,73758
2017-08-17,53108,87845
2017-08-16,35579,65098
2017-08-15,26809,46099
2017-08-14,27096,55604
2017-08-11,42052,81125
2017-08-10,56312,124424
2017-08-09,32409,65694
2017-08-08,34818,64520
2017-08-07,41458,62455
2017-08-04,36617,64181
2017-08-03,33335,66547
2017-08-02,65126,119965
2017-08-01,33475,64389
2017-07-31,62866,129904
2017-07-28,52633,108692
2017-07-27,100135,189367
2017-07-26,55811,112330
2017-07-25,153093,308160
2017-07-24,90733,186736
2017-07-21,61309,100198
2017-07-20,43575,76561
2017-07-19,37764,70584
2017-07-18,35959,72950
2017-07-17,37443,72168
2017-07-14,38528,70713
2017-07-13,55550,116956
2017-07-12,55066,115170
2017-07-11,43994,85091
2017-07-10,45552,79906
2017-07-07,47100,97358
2017-07-06,58382,94974
2017-07-05,48567,104813
2017-07-03,41098,79648
2017-06-30,64172,113165
2017-06-29,88382,186546
2017-06-28,74514,130657
2017-06-27,74234,146492
2017-06-26,41634,84812
2017-06-23,40127,73905
2017-06-22,25620,56374
2017-06-21,37112,69611
2017-06-20,36318,77502
2017-06-19,52288,104593
2017-06-16,63356,113748
2017-06-15,71579,153616
2017-06-14,63607,100328
2017-06-13,52209,116312
2017-06-12,118981,216223
2017-06-09,102297,245884
2017-06-08,31702,72811
2017-06-07,30722,80729
2017-06-06,33469,69569
2017-06-05,40754,75994
2017-06-02,47699,107673
2017-06-01,29467,68800
2017-05-31,44180,81235
2017-05-30,32483,58229
2017-05-26,49885,91915
2017-05-25,55629,101748
2017-05-24,27240,46313
2017-05-23,44761,85575
2017-05-22,27733,53757
2017-05-19,29792,68138
2017-05-18,38228,85742
2017-05-17,56246,114351
2017-05-16,18975,38159
2017-05-15,31164,66376
2017-05-12,28421,59641
2017-05-11,28233,50924
2017-05-10,32388,53883
2017-05-09,53454,91669
2017-05-08,58858,93444
2017-05-05,52520,89332
2017-05-04,63748,82513
2017-05-03,59777,98038
2017-05-02,68698,120467
2017-05-01,64179,112808
2017-04-28,181639,253218
2017-04-27,54445,133906
2017-04-26,36593,76595
2017-04-25,58596,109706
2017-04-24,38862,89959
2017-04-21,44216,85275
2017-04-20,52765,91175
2017-04-19,44239,88279
2017-04-18,39335,62538
2017-04-17,40377,78027
2017-04-13,57345,86879
2017-04-12,25309,55967
2017-04-11,34549,72840
2017-04-10,28442,49618
2017-04-07,40606,80416
2017-04-06,49418,97402
2017-04-05,61479,126044
2017-04-04,37236,72642
2017-04-03,64287,112922
2017-03-31,46545,80320
2017-03-30,34060,69523
2017-03-29,52101,89125
2017-03-28,62087,120312
2017-03-27,69977,125074
2017-03-24,80723,156182
2017-03-23,109101,210510
2017-03-22,64648,110580
2017-03-21,86168,174985
2017-03-20,43397,81086
2017-03-17,52880,70433
2017-03-16,53330,86344
2017-03-15,50666,86735
2017-03-14,40041,65544
2017-03-13,25533,54728
2017-03-10,53557,98278
2017-03-09,42633,102645
2017-03-08,39203,75186
2017-03-07,38575,77391
2017-03-06,34221,62404
2017-03-03,51293,84035
2017-03-02,49517,85055
2017-03-01,51209,108569
2017-02-28,42960,77209
2017-02-27,38432,71996
2017-02-24,63357,118671
2017-02-23,48578,93991
2017-02-22,52786,102561
2017-02-21,33847,74679
2017-02-17,77112,111692
2017-02-16,35334,67999
2017-02-15,51154,107104
2017-02-14,33360,64336
2017-02-13,37946,76636
2017-02-10,66228,112709
2017-02-09,50824,85484
2017-02-08,48371,83640
2017-02-07,48012,96412
2017-02-06,44079,85004
2017-02-03,60828,106027
2017-02-02,47532,92058
2017-02-01,62003,129827
2017-01-31,77274,143262
2017-01-30,121109,242401
2017-01-27,155278,242602
2017-01-26,80613,163246
2017-01-25,36790,92377
2017-01-24,37683,72048
2017-01-23,66033,117938
2017-01-20,48091,72432
2017-01-19,36548,55357
2017-01-18,21289,34906
2017-01-17,28075,54029
2017-01-13,25304,51925
2017-01-12,29816,52078
2017-01-11,32299,57966
2017-01-10,26932,48391
2017-01-09,32098,63179
2017-01-06,66250,131840
2017-01-05,36264,70094
2017-01-04,39054,67538
2017-01-03,53175,98171
2016-12-30,79454,110552
2016-12-29,29098,59644
2016-12-28,39259,65894
2016-12-27,30710,52371
2016-12-23,20463,32059
2016-12-22,39028,66426
2016-12-21,34048,66234
2016-12-20,23263,45889
2016-12-19,43048,79870
2016-12-16,57235,95557
2016-12-15,50958,93329
2016-12-14,62663,107381
2016-12-13,72246,140650
2016-12-12,47680,83154
2016-12-09,81009,136415
2016-12-08,52185,110445
2016-12-07,42509,102192
2016-12-06,47466,97380
2016-12-05,55284,105141
2016-12-02,48501,114631
2016-12-01,90871,188922
2016-11-30,66785,137431
2016-11-29,46892,84266
2016-11-28,92414,146782
2016-11-25,29859,48970
2016-11-23,54964,88862
2016-11-22,39054,81694
2016-11-21,70181,116465
2016-11-18,74262,130859
2016-11-17,40356,94272
2016-11-16,54614,105335
2016-11-15,75650,169158
2016-11-14,84076,178004
2016-11-11,86033,184350
2016-11-10,152663,310265
2016-11-09,97449,168688
2016-11-08,54566,103311
2016-11-07,44242,93814
2016-11-04,66699,121094
2016-11-03,65834,112435
2016-11-02,61559,127120
2016-11-01,83899,168203
2016-10-31,68690,123306
2016-10-28,122985,265064
2016-10-27,66107,147507
2016-10-26,45926,106507
2016-10-25,40350,99029
2016-10-24,39705,83970
2016-10-21,48635,92396
2016-10-20,35003,72127
2016-10-19,40626,75980
2016-10-18,79937,122818
2016-10-17,26893,46485
2016-10-14,39510,59121
2016-10-13,40038,75038
2016-10-12,27841,52181
2016-10-11,50190,95614
2016-10-10,59455,99192
2016-10-07,40029,72057
2016-10-06,37721,58377
2016-10-05,32026,60331
2016-10-04,42795,84283
2016-10-03,44578,78342
2016-09-30,62044,110153
2016-09-29,46591,88929
2016-09-28,42901,71673
2016-09-27,37606,69862
2016-09-26,54072,104426
2016-09-23,60718,96636
2016-09-22,82795,131888
2016-09-21,48154,93378
2016-09-20,32844,63845
2016-09-19,34246,63629
2016-09-16,70689,130774
2016-09-15,80379,126325
2016-09-14,52463,80331
2016-09-13,69421,107894
2016-09-12,76774,117228
2016-09-09,87842,137753
2016-09-08,48685,103167
2016-09-07,36361,69782
2016-09-06,74538,123595
2016-09-02,85501,132284
2016-09-01,38029,76128
2016-08-31,23373,49253
2016-08-30,39860,84552
2016-08-29,26211,53036
2016-08-26,52443,95271
2016-08-25,42885,71739
2016-08-24,35822,72323
2016-08-23,30254,51664
2016-08-22,41516,64275
2016-08-19,40801,84699
2016-08-18,38853,72399
2016-08-17,56079,92025
2016-08-16,33856,70238
2016-08-15,26885,51174
2016-08-12,28926,64988
2016-08-11,32287,71341
2016-08-10,35259,66041
2016-08-09,50018,109519
2016-08-08,36494,79621
2016-08-05,75886,107104
2016-08-04,38731,72471
2016-08-03,50003,90301
2016-08-02,108575,153469
2016-08-01,117409,174604
2016-07-29,251474,346598
2016-07-28,126517,208303
2016-07-27,85903,130908
2016-07-26,35637,69375
2016-07-25,34588,57997
2016-07-22,57105,85540
2016-07-21,33136,65615
2016-07-20,40189,77356
2016-07-19,53911,94312
2016-07-18,70708,133888
2016-07-15,55214,106882
2016-07-14,32286,59886
2016-07-13,39817,74928
2016-07-12,52489,96845
2016-07-11,36675,72265
2016-07-08,73833,118946
2016-07-07,35902,63904
2016-07-06,54816,101054
2016-07-05,45892,83189
