Open,High,Low,Close,Volume
25025.06,25098.61,23907.17,23905.97,43302799617
23904.2,24494.91,23765.89,24486.96,34827026978
24486.9,24784.59,24159.26,24726.68,32330175298
24724.14,24811.23,24245.91,24572.39,34437289562
24572.26,24658.36,23413.57,23481.02,40617946500
23480.69,23894.65,22947.4,23800.7,44153972690
23799.91,23799.91,22837.88,23272.47,32551057406
23271.11,23275.36,22506.59,23059.65,35650952530
23049.96,24162.92,23047.32,24014.9,27781091045
24018.87,24752.94,23926.37,24409.37,32453114181
24412.06,24629.35,24264.84,24561.12,28679630291
24561.48,24780.16,24357.65,24658.5,33960686567
24660.71,27343.26,24516.1,27166.03,56611097927
27163.16,30071.22,27062.55,29036.47,90882168158
29038.55,29604.58,28589.08,29589.87,51649859211
29583.35,30802.08,29191.52,30525.81,49219606506
30515.5,30972.39,29602.33,30075.87,48480802951
30072.23,30908.42,28541.4,29308,58932888435
29296.38,30671.73,28883.4,30662.86,56949381724
30661.51,30946.14,29302.54,29851.39,65692590665
29849.93,30595.91,29249.96,30529.54,52838689354
30526.47,31813.02,30170.3,31754.68,54160956231
31770.42,34398.18,31571.74,34036.36,62225866761
34039.37,36420.47,33309.85,33737.04,85368828343
33747.99,35146.53,33659.1,34786.05,63005439053
34782.2,35090.63,33332.53,35085.89,58042939241
35082.89,36903.2,35082.89,36777.84,65401490499
36778.63,37299.79,35876.46,36919.19,59519070252
36909.38,37681.75,36666.96,37393.09,51849388517
37396.02,42206.63,37033.22,40898.17,86393019962
40900.89,44056.87,40802.76,41711.19,1E+11
41747.99,42467.91,36399.63,40865.06,1.04E+11
40871.61,43642.41,38539.42,43089.99,85625353050
43116.85,46711.31,42464.96,46641.22,95360542812
46653.27,51054.82,46275.97,49945.91,1.08E+11
49959.51,53271.73,46712.9,51769.03,1.12E+11
51757.64,52579,49463.22,51079.4,78652324066
51078.98,52558.5,45680.5,48817.74,1.02E+11
48805.13,48805.13,39024.97,45432.6,1.58E+11
45368.35,46613.72,41735.21,43108.25,95019563596
43098.28,47769.21,41439.48,47383.3,88076935594
47394.41,50571.69,46788.23,49563.35,80460231874
49524.62,50045.82,44171.78,46905.54,86308842375
46900.8,48228.95,45387.49,46081.14,73502044976
46062.69,46767.02,43282.69,45711.01,66871649765
45712.23,47679.49,44586.64,46701.33,63124697454
46716.83,48073.71,45888.95,45888.95,72827553846
45863.89,46274.69,42417.21,44892.29,84403577912
44894.38,44877.08,38235.89,38992.07,95682504823
38981.86,43016.28,36645.45,42028.71,98313810634
42003.24,42481.04,40102.6,40834.13,61573714469
40829.98,41950.08,39630.7,41094.11,61908127615
41089.55,44272.92,40894.73,41229.38,76298845055
41219.47,41623.23,39430.96,41341.23,76482809027
41333.85,41333.85,37628.26,39009.81,80213709506
39020.7,40929.14,38501.85,40608.72,1.01E+11
44033.33,49034.35,41269.44,43844.33,1.51E+11
43818.2,44506.57,42086.03,43794.73,83248000113
43796.47,43818.77,41242.9,42390.85,67532936483
42391.13,44329.98,41421.05,43093.59,78896444828
43088.48,45982.51,43037.96,45408.61,80674213180
45409.29,47901.07,45314.42,47908.07,78201777016
47911.92,49334.31,46619.61,47359.34,88287928121
47366.37,48924.76,46981.03,48683.77,74789005140
48676.21,52132.65,48676.21,50115.41,91033773381
50095.21,50536.27,47761.26,49642.27,83581307123
49621.07,58859.65,48601,58850.14,1.29E+11
58835.52,61124,57497.18,59023.47,1.17E+11
59009.07,59886.61,55743.77,57035,1.11E+11
57010.27,61538.18,56164.95,60845.81,1.03E+11
60804.79,61926.87,59115.99,60319.29,97205763558
60301.95,61013.43,58911.24,59816.94,89207541748
59828.36,62841.88,59828.36,61818.59,90409225214
61792.25,62015.52,58749.41,60583.38,97385529641
60582.62,63618.47,59591.55,62545.24,97949128144
