"0	1	2	3	4	5	6	7	8	9	10	11	12	13	14"
"1.0	13793.51	13896.76	13429.67	65274061291.0	190260918.1201	191685098.02760002	185242287.4417	900358417158021.4	193119938.49760002	186628900.8692	907097963986317.1	180356036.3089	876609102697904.0	4.2607030774212246e+21"
"1.0	13444.42	13450.61	11767.84	88188810414.0	180752429.1364	180835650.09620002	158211783.4528	1185647406506190.0	180918909.37210003	158284626.3824	1186193295242652.5	138482058.2656	1037791810742285.8	7.777266282236434e+21"
"1.0	12193.24	12639.67	11745.08	80096322005.0	148675101.6976	154118529.8308	143210579.2592	976633677324246.1	159761257.7089	148453935.3236	1012391078356938.4	137946904.2064	940737709654485.4	6.415420798728647e+21"
"1.0	12073.91	12553.66	12016.46	59342846267.0	145779302.6881	151571761.0106	145085656.55859998	716500184971594.0	157594379.3956	150850553.24359998	744969915468187.2	144395310.93159997	713090938453554.8	3.521573403068796e+21"
"1.0	12399.22	13138.76	12399.22	64195297371.0	153740656.6084	162910375.7672	153740656.6084	795971615068450.6	172627014.3376	162910375.7672	843446605286200.0	153740656.6084	795971615068450.6	4.1210362045511196e+21"
"1.0	13064.09	13785.38	13053.15	79187547236.0	170670447.5281	180093445.00419998	170527526.3835	1034513243970355.2	190036701.74439996	179942632.947	1091630429916209.6	170384724.92249998	1033646932203593.4	6.270667637253731e+21"
"1.0	13660.76	13691.7	13066.92	67954478024.0	186616363.77760002	187039027.692	178504058.05920002	928309815211138.2	187462648.89000002	178908348.564	930412326761200.9	170744398.2864	887955727981366.1	4.617811083514299e+21"
"1.0	13169.67	13493.04	13064.85	51020709976.0	173440207.9089	177698884.0968	172059763.0995	671925913549627.9	182062128.44160002	176284543.64400002	688424480534567.1	170690305.5225	666577922729943.6	2.603112846455106e+21"
"1.0	13226.01	13858.14	13190.2	56486445444.0	174927340.5201	183287898.2214	174453717.102	747090292306798.5	192048044.25959998	182791638.22800002	782797069065314.1	173981376.04000002	745067512695448.9	3.1907185188979883e+21"
"1.0	13634.92	13945.72	13466.35	58311257556.0	185911043.4064	190148776.5424	183612604.942	795069331875455.5	194483106.3184	187797946.52199998	813192470723860.2	181342582.32250002	785239803189240.6	3.4002027577621673e+21"
"1.0	13560.51	13682.08	13308.7	54715061711.0	183887431.4601	185535982.6608	180472759.437	741964141482632.6	187199313.1264	182090698.09600002	748615851534838.9	177121495.69000003	728186341793185.8	2.993737978038538e+21"
"1.0	13555.77	13664.71	13141.05	50815353532.0	183758900.29290003	185235665.87669998	178137051.3585	688841244948479.6	186724299.3841	179568637.3455	694377069562255.6	172687195.1025	667767101531688.6	2.582200154582145e+21"
